what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1327662161916
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1327662161916
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1327662161916
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1327662161916
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1327662161916
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1327662161916
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1327662161947
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1327662161962
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1327662161962
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1327662161978
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1327662161994
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1327662162025
os,sysinfo,,,"win32",1327662162025
arch,sysinfo,,,"x86",1327662162025
ws,sysinfo,,,"win32",1327662162025
locale,sysinfo,,,"ko_KR",1327662162025
processors,sysinfo,,,"2",1327662162025
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327662162025
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1327662162025
java.specification.name,sysinfo,,,"Java Platform API Specification",1327662162025
java.specification.vendor,sysinfo,,,"Oracle Corporation",1327662162025
java.specification.version,sysinfo,,,"1.7",1327662162025
java.vendor,sysinfo,,,"Oracle Corporation",1327662162025
java.version,sysinfo,,,"1.7.0_02",1327662162025
java.vm.info,sysinfo,,,"mixed mode, sharing",1327662162025
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1327662162025
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327662162025
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1327662162025
java.vm.specification.version,sysinfo,,,"1.7",1327662162025
java.vm.vendor,sysinfo,,,"Oracle Corporation",1327662162025
java.vm.version,sysinfo,,,"22.0-b10",1327662162025
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1327662162040
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1327662162524
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1327662162696
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327662164646
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1327662165192
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1327662165457
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1327662166159
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1327662167110
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1327662167142
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1327662167391
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1327662167407
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1327662167578
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1327662167594
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1327662168234
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327662169544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662174630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662207675
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662210108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662267325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662272816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662346713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662348429
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662375652
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327662390066
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327662392656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662407273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662415463
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1327662419051
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1327662419285
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1327662420658
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1327662421594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662434685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662435488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327662817917
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1327662821959
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1327662821970
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1327662823244
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1327662823573
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327662824475
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327662824507
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1327662824932
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1327662825116
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1327662825322
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1327662825432
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1327662825578
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1327662825598
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1327662826549
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1327662826790
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1327662826865
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1327662827267
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1327662827629
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1327662828083
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1327662828241
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1327662828299
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1327662828592
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1327662828600
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1327662828726
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1327662828794
